Year,Make,Model,Trim,Type,Price,Mileage,Accidents,Owners,Usage,car_url,Miles_threshold
2021,Mazda,CX-5,Touring,SUV,23271.0,35715.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM5M1393437/?radius=25,45000
2021,Mazda,CX-5,Touring,SUV,22882.0,28623.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM2M0367903/?radius=25,45000
2022,Mazda,CX-5,2.5 S,SUV,23962.0,7466.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2022/vin/JM3KFBAMXN0577251/?radius=25,30000
2021,Mazda,CX-5,Touring,SUV,22995.0,31274.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM9M1364667/?radius=25,45000
2020,Mazda,CX-5,Grand Touring,SUV,21788.0,47021.0,0,1,Rental vehicle,https://www.edmunds.com/mazda/cx-5/2020/vin/JM3KFADM8L0738117/?radius=25,60000
2021,Mazda,CX-5,Touring,SUV,23495.0,21653.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM8M1446244/?radius=25,45000
2021,Mazda,CX-5,Grand Touring,SUV,25995.0,21893.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBDM8M0420702/?radius=25,45000
2022,Mazda,CX-5,2.5 S Select,SUV,24259.0,25993.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2022/vin/JM3KFBBM7N1578365/?radius=25,30000
2020,Mazda,CX-5,Grand Touring,SUV,23300.0,31275.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2020/vin/JM3KFBDM2L0808782/?radius=25,60000
2022,Mazda,CX-5,2.5 S Preferred,SUV,24488.0,28475.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2022/vin/JM3KFBCM4N1521247/?radius=25,30000
2021,Mazda,CX-5,Touring,SUV,24299.0,11401.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM2M0418168/?radius=25,45000
2022,Mazda,CX-5,2.5 S Preferred,SUV,25488.0,24028.0,0,1,Personal use only,https://www.edmunds.com/mazda/cx-5/2022/vin/JM3KFBCM5N0582354/?radius=25,30000
2022,Mazda,CX-5,2.5 S Premium Plus,SUV,25590.0,25456.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2022/vin/JM3KFBEM5N0536679/?radius=25,30000
2021,Mazda,CX-5,Touring,SUV,21492.0,36567.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM6M0400952/?radius=25,45000
2021,Mazda,CX-5,Touring,SUV,22995.0,23318.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM7M1390023/?radius=25,45000
2021,Mazda,CX-5,Grand Touring,SUV,24998.0,23907.0,0,1,Personal use only,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBDM9M1303365/?radius=25,45000
2021,Mazda,CX-5,Sport,SUV,22998.0,29543.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFABM2M0408431/?radius=25,45000
2020,Mazda,CX-5,Touring,SUV,25990.0,9593.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2020/vin/JM3KFACM2L1835227/?radius=25,60000
2021,Mazda,CX-5,Grand Touring,SUV,24107.0,36400.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBDMXM0413167/?radius=25,45000
2021,Mazda,CX-5,Touring,SUV,23995.0,27140.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM7M1340593/?radius=25,45000
2021,Mazda,CX-5,Grand Touring,SUV,25276.0,19265.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBDM2M0470754/?radius=25,45000
2020,Mazda,CX-5,Grand Touring,SUV,22628.0,38201.0,0,1,Personal use only,https://www.edmunds.com/mazda/cx-5/2020/vin/JM3KFBDM9L1820390/?radius=25,60000
2021,Mazda,CX-5,Grand Touring,SUV,25995.0,26261.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBDMXM0352127/?radius=25,45000
2021,Mazda,CX-5,Touring,SUV,23997.0,29275.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM6M0410199/?radius=25,45000
2021,Mazda,CX-5,Grand Touring,SUV,24459.0,26819.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBDM5M0378134/?radius=25,45000
2021,Mazda,CX-5,Touring,SUV,24499.0,12090.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM9M0321288/?radius=25,45000
2021,Mazda,CX-5,Touring,SUV,24299.0,12858.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM4M1390075/?radius=25,45000
2021,Mazda,CX-5,Touring,SUV,25998.0,27666.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCMXM1379162/?radius=25,45000
2021,Mazda,CX-5,Touring,SUV,24299.0,12268.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM5M0378989/?radius=25,45000
2020,Mazda,CX-5,Grand Touring,SUV,25998.0,27725.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2020/vin/JM3KFBDM5L0849827/?radius=25,60000
2021,Mazda,CX-5,Grand Touring,SUV,25849.0,15015.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBDM8M1461759/?radius=25,45000
2022,Mazda,CX-5,2.5 S Premium Plus,SUV,25590.0,27549.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2022/vin/JM3KFBEM7N1632811/?radius=25,30000
2021,Mazda,CX-5,Touring,SUV,19990.0,44994.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFACM2M0462360/?radius=25,45000
2021,Mazda,CX-5,Grand Touring,SUV,24995.0,23569.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBDM5M1306313/?radius=25,45000
2021,Mazda,CX-5,Sport,SUV,22199.0,20230.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBBM8M0353585/?radius=25,45000
2020,Mazda,CX-5,Touring,SUV,24998.0,30216.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2020/vin/JM3KFBCMXL1798157/?radius=25,60000
2021,Mazda,CX-5,Touring,SUV,24998.0,31331.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM8M0376735/?radius=25,45000
2021,Mazda,CX-5,Grand Touring,SUV,25998.0,29610.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFADM5M1367039/?radius=25,45000
2020,Mazda,CX-5,Grand Touring,SUV,24998.0,41200.0,0,1,Personal use only,https://www.edmunds.com/mazda/cx-5/2020/vin/JM3KFBDM6L0841400/?radius=25,60000
2021,Mazda,CX-5,Touring,SUV,23957.0,19081.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM6M1373066/?radius=25,45000
2020,Mazda,CX-5,Grand Touring,SUV,25998.0,38729.0,0,1,Personal use only,https://www.edmunds.com/mazda/cx-5/2020/vin/JM3KFBDMXL0846017/?radius=25,60000
