Year,Make,Model,Trim,Doors,Type,price,Mileage,Accidents,Owners,Usage,Title Details,Salvage Vehicle,Frame Damage,Theft History,Lemon Status,Certified Pre-Owned,Listed since,car_url
2017,Honda,CR-V,EX-L,4dr,SUV,23775.0,12810.0,0,2,Personal use only,Clean Title,No,No,No,No,No,2024-04-05,https://www.edmunds.com/honda/cr-v/2017/vin/2HKRW2H83HH615720/?radius=25
2018,Honda,CR-V,EX,4dr,SUV,20481.0,55212.0,1,1,Personal use only,Clean Title,No,No,No,No,No,2024-02-13,https://www.edmunds.com/honda/cr-v/2018/vin/2HKRW2H54JH630318/?radius=25
2015,Honda,CR-V,EX-L,4dr,SUV,15595.0,102270.0,0,1,Personal use only,Clean Title,No,No,No,No,No,,https://www.edmunds.com/honda/cr-v/2015/vin/2HKRM4H71FH633042/?radius=25
2022,Honda,CR-V,EX,4dr,SUV,26999.0,9272.0,0,1,Personal use only,Clean Title,No,No,No,No,No,2024-03-27,https://www.edmunds.com/honda/cr-v/2022/vin/5J6RW2H5XNA013822/?radius=25
2023,Honda,CR-V,EX-L,4dr,SUV,33995.0,2050.0,0,1,Personal use,Clean Title,No,No,No,No,Yes,2024-03-14,https://www.edmunds.com/honda/cr-v/2023/vin/2HKRS4H79PH438037/?radius=25
2020,Honda,CR-V,EX-L,4dr,SUV,24499.0,46337.0,2,1,Personal use,Clean Title,No,No,No,No,Yes,2023-10-26,https://www.edmunds.com/honda/cr-v/2020/vin/5J6RW2H81LL005040/?radius=25
2014,Honda,CR-V,EX-L,4dr,SUV,16903.0,38143.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-02-06,https://www.edmunds.com/honda/cr-v/2014/vin/5J6RM4H71EL025249/?radius=25
2021,Honda,CR-V,EX-L,4dr,SUV,28037.0,10079.0,0,1,Personal use,Clean Title,No,No,No,No,Yes,2024-03-16,https://www.edmunds.com/honda/cr-v/2021/vin/2HKRW2H85MH632254/?radius=25
2015,Honda,CR-V,EX,4dr,SUV,14695.0,99151.0,2,1,Personal use only,Clean Title,No,No,No,No,No,2024-02-21,https://www.edmunds.com/honda/cr-v/2015/vin/2HKRM4H52FH705252/?radius=25
2020,Honda,CR-V,Touring,4dr,SUV,23990.0,29806.0,0,2,Personal use only,Clean Title,No,No,Yes,No,No,2024-02-03,https://www.edmunds.com/honda/cr-v/2020/vin/2HKRW2H98LH656961/?radius=25
2019,Honda,CR-V,EX,4dr,SUV,22849.0,22855.0,0,2,Personal use,Clean Title,No,No,No,No,No,2024-02-13,https://www.edmunds.com/honda/cr-v/2019/vin/7FARW2H52KE040963/?radius=25
2020,Honda,CR-V,EX-L,4dr,SUV,24894.0,24700.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-04-03,https://www.edmunds.com/honda/cr-v/2020/vin/5J6RW2H8XLA021426/?radius=25
